"v_products_model"~"v_status"~"v_products_name_3"~"v_products_description_3"~"v_products_image"~"v_products_price"~"v_products_quantity"~"v_products_weight"~"v_categories_image_1"~"v_categories_name_1_3"~"v_categories_image_2"~"v_categories_name_2_3"~"v_manufacturers_name"~"v_tax_class_title"~"EOREOR"
16121~"Active"~"STIMUL8 LIMPIADOR DE JUGUETES BIOLOGICO 150 ML"~"<p>
	Desinfectante antibacteriano sin alcohol que limpia todos tus accesorios.<br />
	Es una bebida para la noche y estimula tu libido. No ingerir m&aacute;s de 3 latas al d&iacute;a.<br />
	<br />
	Contiene 296 ml.</p>
"~"products/YXAIIO_PHEROMONES_BEBIDA_AFRODISIACA.jpg"~"3.25"~50~"0.5"~~"AFRODISIACOS"~~"BEBIDAS"~"YXAIIO"~"IVA (Reducido)"~"EOREOR"
16158~"Active"~"EXTASE SENSUEL SET ESPECIAL FANTASIA A DOS"~"<p>
	El placer de una escapada extraordinaria, un deseo de aventura, una ocasi&oacute;n especial.<br />
	<br />
	En este Set especial encontrar&aacute; un complemento ideal como las m&aacute;scaras de L&rsquo;Art de L&rsquo;Amour que le permitir&aacute;n crear, compartir y hacer realidad&nbsp; sus fantas&iacute;as mas ocultas.<br />
	<br />
	Junto al ex&oacute;tico Aceite Afrodis&iacute;aco de masaje de Mango incendiar&aacute;n sus momentos de sensualidad.<br />
	<br />
	Aceite de masaje de origen natural. Compatible con&nbsp; l&aacute;tex.<br />
	<br />
	Producto cosm&eacute;tico para uso externo.<br />
	<br />
	Formulado seg&uacute;n reglamentaci&oacute;n Comunitaria.<br />
	<br />
	Delicioso y Dulce sabor a Mango.<br />
	<br />
	Estuche con Botella Collection Classic de 150 ml + 2 m&aacute;scaras, ella y el.</p>
"~"products/EXTASE_SENSUEL_SET_ESPECIAL_FANTASIA_A_DOS.jpg"~"26.95"~2~"0.5"~~"ACEITES Y LUBRICANTES"~~"ACEITES KITS"~"EXTASE SENSUEL"~"IVA (Normal)"~"EOREOR"
16159~"Active"~"TENTACION LOCION DE MASAJE PIEL DE SEDA 50 ML"~"<p>
	Para un masaje verdaderamente sensual. Deja la piel suave y sedosa disminuyendo la fricci&oacute;n y haciendo mucho m&aacute;s agradable el contacto con la piel de la pareja.<br />
	<br />
	Su formulaci&oacute;n a base de &eacute;steres vegetales y siliconas favorece la hidrataci&oacute;n de las capas superficiales transmitiendo una apariencia brillante y un tacto como la seda natural.Incluso en el encuentro m&aacute;s furtivo, una fragancia agradable puede hacer que se dispare nuestro estado de &aacute;nimo, estimular la creatividad y la intimidad con tu pareja.<br />
	<br />
	Hidratar&aacute;n tu piel, la mantendr&aacute;n suave, y lista para una sesi&oacute;n de placer manual inolvidable. No volver&aacute; a faltar en tu mesilla de noche.<br />
	Envase de cristal de 50ml.</p>
"~"products/TENTACION_LOCION_DE_MASAJE_PIEL_DE_SEDA_50_ML.jpg"~"16.85"~6~"0.5"~~"ACEITES Y LUBRICANTES"~~"ACEITES"~"EUROSCENTS"~"IVA (Normal)"~"EOREOR"
16160~"Active"~"TENTACION GEL ORGASMICO FEMENINO PUNTO G 50 ML"~"<p>
	El gel org&aacute;smico femenino Tentaci&oacute;n con efecto fr&iacute;o, estimula la circulaci&oacute;n sanguinea y sensibiliza la zona clitorial favoreciendo el orgasmo femenino.<br />
	Aplica un poca cantidad en la zona del cl&iacute;toris y siente como su efecto refrescante te provoca una agradable sensaci&oacute;n, ahora deja que tu pareja masaj&eacute;e tu cl&iacute;toris y el orgasmo tardar&aacute; poco en hacer acto de presencia.<br />
	<br />
	El gel org&aacute;smico femenino Tentaci&oacute;n es ideal para juegos en pareja o con jueguetes de estimulaci&oacute;n externa.<br />
	Envase 50 ml.</p>
"~"products/TENTACION_GEL_ORGASMICO_FEMENINO_PUNTO_G_50_ML.jpg"~"15.05"~16~"0.5"~~"AFRODISIACOS"~~"CREMAS FEMENINAS"~"EUROSCENTS"~"IVA (Normal)"~"EOREOR"
16161~"Active"~"BESOS DE MORAS BALSAMO LABIAL PROTECTOR"~"<p>
	B&aacute;lsamo labial protector y regenerador, elaborado por completo con productos de origen natural a los que adicionamos aromas alimentarios para hacer su uso m&aacute;s agradable.</p>
<p>
	Fabricado a base de Karit&eacute;, Babass&uacute;, aceite de uva, aceite de manzanilla, aceite de crambe y antioxidantes vegetales.<br />
	No contiene petroqu&iacute;micos, conservantes, colorantes, ceras oclusivas, parabenes ni parafinas.</p>
<p>
	Display de 8 unidades de 12 ml. Cada una.</p>
"~"products/BESOS_DE_MORAS_BALSAMO_LABIAL_PROTECTOR.jpg"~"47.15"~3~"0.5"~~"ACEITES Y LUBRICANTES"~~"CUIDADO DEL CUERPO"~"EUROSCENTS"~"IVA (Normal)"~"EOREOR"
16162~"Active"~"BESOS DE PASION BALSAMO LABIAL PROTECTOR"~"<p>
	B&aacute;lsamo labial protector y regenerador, elaborado por completo con productos de origen natural a los que adicionamos aromas alimentarios para hacer su uso m&aacute;s agradable.</p>
<p>
	Fabricado a base de Karit&eacute;, Babass&uacute;, aceite de uva, aceite de manzanilla, aceite de crambe y antioxidantes vegetales.<br />
	No contiene petroqu&iacute;micos, conservantes, colorantes, ceras oclusivas, parabenes ni parafinas.</p>
<p>
	Display de 8 unidades de 12 ml. Cada una.</p>
"~"products/BESOS_DE_PASION_BALSAMO_LABIAL_PROTECTOR.jpg"~"47.15"~3~"0.5"~~"ACEITES Y LUBRICANTES"~~"CUIDADO DEL CUERPO"~"EUROSCENTS"~"IVA (Normal)"~"EOREOR"
16163~"Active"~"BESOS DE MANGO BALSAMO LABIAL PROTECTOR"~"<p>
	B&aacute;lsamo labial protector y regenerador, elaborado por completo con productos de origen natural a los que adicionamos aromas alimentarios para hacer su uso m&aacute;s agradable.</p>
<p>
	Fabricado a base de Karit&eacute;, Babass&uacute;, aceite de uva, aceite de manzanilla, aceite de crambe y antioxidantes vegetales.<br />
	No contiene petroqu&iacute;micos, conservantes, colorantes, ceras oclusivas, parabenes ni parafinas.</p>
<p>
	Display de 8 unidades de 12 ml. Cada una.</p>
"~"products/BESOS_DE_MANGO_BALSAMO_LABIAL_PROTECTOR.jpg"~"47.15"~3~"0.5"~~"ACEITES Y LUBRICANTES"~~"CUIDADO DEL CUERPO"~"EUROSCENTS"~"IVA (Normal)"~"EOREOR"
16164~"Active"~"BESOS DE REGALIZ BALSAMO LABIAL PROTECTOR"~"<p>
	B&aacute;lsamo labial protector y regenerador, elaborado por completo con productos de origen natural a los que adicionamos aromas alimentarios para hacer su uso m&aacute;s agradable.</p>
<p>
	Fabricado a base de Karit&eacute;, Babass&uacute;, aceite de uva, aceite de manzanilla, aceite de crambe y antioxidantes vegetales.<br />
	No contiene petroqu&iacute;micos, conservantes, colorantes, ceras oclusivas, parabenes ni parafinas.</p>
<p>
	Display de 8 unidades de 12 ml. Cada una.</p>
"~"products/BESOS_DE_REGALIZ_BALSAMO_LABIAL_PROTECTOR.jpg"~"21.95"~5~"0.5"~~"ACEITES Y LUBRICANTES"~~"CUIDADO DEL CUERPO"~"EUROSCENTS"~"IVA (Normal)"~"EOREOR"
16165~"Active"~"BESOS DE SANDIA BALSAMO LABIAL PROTECTOR"~"<p>
	B&aacute;lsamo labial protector y regenerador, elaborado por completo con productos de origen natural a los que adicionamos aromas alimentarios para hacer su uso m&aacute;s agradable.</p>
<p>
	Fabricado a base de Karit&eacute;, Babass&uacute;, aceite de uva, aceite de manzanilla, aceite de crambe y antioxidantes vegetales.<br />
	No contiene petroqu&iacute;micos, conservantes, colorantes, ceras oclusivas, parabenes ni parafinas.</p>
<p>
	Display de 8 unidades de 12 ml. Cada una.</p>
"~"products/BESOS_DE_SANDIA_BALSAMO_LABIAL_PROTECTOR.jpg"~"47.15"~3~"0.5"~~"ACEITES Y LUBRICANTES"~~"CUIDADO DEL CUERPO"~"EUROSCENTS"~"IVA (Normal)"~"EOREOR"
16166~"Active"~"BESOS DE MENTA BALSAMO LABIAL PROTECTOR"~"<p>
	B&aacute;lsamo labial protector y regenerador, elaborado por completo con productos de origen natural a los que adicionamos aromas alimentarios para hacer su uso m&aacute;s agradable.</p>
<p>
	Fabricado a base de Karit&eacute;, Babass&uacute;, aceite de uva, aceite de manzanilla, aceite de crambe y antioxidantes vegetales.<br />
	No contiene petroqu&iacute;micos, conservantes, colorantes, ceras oclusivas, parabenes ni parafinas.</p>
<p>
	Display de 8 unidades de 12 ml. Cada una.</p>
"~"products/BESOS_DE_MENTA_BALSAMO_LABIAL_PROTECTOR.jpg"~"47.15"~4~"0.5"~~"ACEITES Y LUBRICANTES"~~"CUIDADO DEL CUERPO"~"EUROSCENTS"~"IVA (Normal)"~"EOREOR"
16167~"Active"~"CHUPETE PITO DE CARAMELO"~"<p>
	Divertido chupete en forma de pito de caramelo de fresa. Ideal para tus fiestas!</p>
"~"products/CHUPETE_PITO_DE_CARAMELO.jpg"~"2.15"~50~"0.5"~~"DIVERTIDOS"~~"COMESTIBLES"~"FEMARVI"~"IVA (Reducido)"~"EOREOR"
16168~"Active"~"SENSUAL MASSAGE SET DE REGALO"~"<p>
	Con MoreAmore, convierta cualquier momento en una velada rom&aacute;ntica. Utiliza su imaginaci&oacute;n y d&eacute;jate llevar por tus sentidos y tu coraz&oacute;n.<br />
	<br />
	Contiene:<br />
	- Suave gel de masaje/lubricante Skin Glide Pearls.<br />
	- Velas arom&aacute;ticas.<br />
	- Coraz&oacute;n caliente para masajes rom&aacute;nticos.<br />
	- P&eacute;talos de rosa.<br />
	- Anillo vibrador de silicona.</p>
"~"products/SENSUAL_MASSAGE_SET_DE_REGALO.jpg"~"29.05"~1~"0.5"~~"VARIOS"~~"PARA REGALAR"~"MOREAMORE"~"IVA (Normal)"~"EOREOR"
16171~"Active"~"DISFRAZ DE HOMBRE ABEJORRO"~"<p>
	Original disfraz de hombre abejorro, compuesto por un vestido con falda tut&uacute; un gorro con antenas y las alas.</p>
<p>
	100% Poli&eacute;ster.</p>
"~"products/DISFRAZ_DE_HOMBRE_ABEJORRO.jpg"~"48.55"~7~"0.5"~~"DIVERTIDOS"~~"DISFRACES"~"FEMARVI"~"IVA (Normal)"~"EOREOR"
16172~"Active"~"DISFRAZ DE HOMBRE CON TERCERA PIERNA"~"<p>
	Original disfraz de hombre con tercera pierna, compuesto por un cintur&oacute;n que se adapta a tus pantalones y deja caer la pierna de en medio.</p>
<p>
	100% Poli&eacute;ster.</p>
"~"products/DISFRAZ_DE_HOMBRE_CON_TERCERA_PIERNA.jpg"~"11.95"~23~"0.5"~~"DIVERTIDOS"~~"DISFRACES"~"FEMARVI"~"IVA (Normal)"~"EOREOR"
16173~"Active"~"DISFRAZ DE RATITA PRESUMIDA"~"<p>
	Disfraz de ratita presumida compuesto por un vestido rojo a lunares blancos, mangas de farol con lazo decorativo y una diadema con las orejas y un lazo a juego con el vestido.</p>
<p>
	100% Poli&eacute;ster.</p>
"~"products/DISFRAZ_DE_RATITA_PRESUMIDA.jpg"~"45.55"~20~"0.5"~~"DIVERTIDOS"~~"DISFRACES"~"FEMARVI"~"IVA (Normal)"~"EOREOR"
16174~"Active"~"DISFRAZ DE ABEJITA"~"<p>
	Disfraz de abejita sexy compuesto por un vestido con falda de tul, unas alas y una diadema con las antenitas.</p>
<p>
	100% Poli&eacute;ster.</p>
"~"products/DISFRAZ_DE_ABEJITA.jpg"~"45.55"~15~"0.5"~~"DIVERTIDOS"~~"DISFRACES"~"FEMARVI"~"IVA (Normal)"~"EOREOR"
16175~"Active"~"TARJETA FELICITACION MELONES"~"<p>
	Tarjeta de felicitaci&oacute;n &quot;Averigua cu&aacute;l es el fruto que levanta pasiones&hellip;&quot; y un preservativo de frutos del bosque.</p>
"~"products/TARJETA_FELICITACION_MELONES.jpg"~"7.15"~26~"0.5"~~"DIVERTIDOS"~~"FELICITACIONES"~"FEMARVI"~"IVA (Normal)"~"EOREOR"
16176~"Active"~"RULETA KAMASUTRA"~"<p>
	Girar&aacute;n la ruleta los dos jugadores a la vez, tantas veces como sea necesario, hasta que coincidan en la misma tirada con la postura compatible y ejecutable (coincide el color).</p>
<p>
	Deber&aacute;n realizar la postura de inmediato para poder seguir jugando hasta conseguir realizar todas las posiciones.</p>
"~"products/RULETA_KAMASUTRA.jpg"~"6.65"~32~"0.5"~~"JUEGOS"~~"JUEGOS PAREJA"~"FEMARVI"~"IVA (Normal)"~"EOREOR"
16177~"Active"~"PA&Ntilde;UELO UNISEX ESTAMOS DE DESPEDIDA"~"<p>
	Pa&ntilde;uelo color amarillo fl&uacute;or con r&oacute;tulo: ESTAMOS DE JUERGA.<br />
	<br />
	Ideal para reuniones con los amigos y despedidas de soltero/a.<br />
	<br />
	Composici&oacute;n 100% polyester</p>
"~"products/PANUELO_UNISEX_ESTAMOS_DE_DESPEDIDA.jpg"~"4.75"~50~"0.5"~~"DIVERTIDOS"~~"BANDAS"~"FEMARVI"~"IVA (Normal)"~"EOREOR"
16178~"Active"~"SET DE VELO Y BANDA DE NOVIA DEL A&Ntilde;O"~"<p>
	Fant&aacute;stico set de despedida de soltera con una banda blanca con texto en rosa &quot;Novia del A&ntilde;o&quot; y una diadema con velo y pene con marab&uacute; decorativo, todo en rosa.</p>
<p>
	El velo dispone de penes estampados con purpurina.</p>
"~"products/SET_DE_VELO_Y_BANDA_DE_NOVIA_DEL_ANO.jpg"~"23.65"~34~"0.5"~~"DIVERTIDOS"~~"BANDAS"~"FEMARVI"~"IVA (Normal)"~"EOREOR"
16179~"Active"~"PARTY PLAY"~"<p>
	&iquest;Quer&eacute;is que vuestra reuni&oacute;n de amigos sea inolvidable? &iexcl;Atreveos a jugar!<br />
	<br />
	Primero se colocan cada uno de los grupos de tarjetas en su color correspondiente en el tablero. Se barajan previamente las de Preguntas y pruebas. Todos los jugadores lanzan el dado por turnos y el que tenga el n&uacute;mero m&aacute;s alto, empieza, siendo el siguiente el sentado a su derecha y as&iacute; sucesivamente.<br />
	<br />
	Lanza el dado el primer jugador y avanza las casillas que indique. La ficha se mover&aacute; por el tablero como el jugador desee, pero nunca hacia atr&aacute;s. Si una casilla est&aacute; ocupada por otra ficha, &eacute;ste no puede colocarse encima, ni pasar por delante.<br />
	<br />
	Seg&uacute;n el color de la casilla, el jugador realizar&aacute; una cosa u otra, desde poder comprar una copa con cr&eacute;ditos obtenidos, a comprar prenda de la persona que quiera y comprar un seguro para que nadie le compre sus prendas. El objetivo del juego consiste en ser el &uacute;ltimo en llegar al final del tablero. El ganador obtendr&aacute; de premio un striptease masivo, ofrecido por todos los jugadores que hayan participado.<br />
	<br />
	Contenido:<br />
	- Tablero.<br />
	- Dado.<br />
	- 10 Fichas.<br />
	- 75 Tarjetas de Pruebas.<br />
	- 40 Tarjetas de Cr&eacute;dito.<br />
	- 10 Tarjetas de Seguro.<br />
	- Pene vibrador.<br />
	- Tetas vibradoras.<br />
	- Pluma.<br />
	- Cinta Bondaje.<br />
	Se sugiere tener: Bebida y ganas de disfrutar.<br />
	<br />
	De 4 a 10 jugadores mayores de edad.</p>
"~"products/PARTY_PLAY.jpg"~"62.85"~12~"0.5"~~"JUEGOS"~~"JUEGOS SOCIEDAD"~"FEMARVI"~"IVA (Normal)"~"EOREOR"
16180~"Active"~"BIBERON GIGANTE VAGINA COLOR CARNE"~"<p>
	Biber&oacute;n peculiar con forma de vagina de color carne y pajita, con letrero &quot;Chupa por donde quieras&quot;.<br />
	<br />
	Capacidad para 2 litros.</p>
"~"products/BIBERON_GIGANTE_VAGINA_COLOR_CARNE.jpg"~"20.35"~28~"0.5"~~"DIVERTIDOS"~~"BIBERONES"~"FEMARVI"~"IVA (Normal)"~"EOREOR"
16181~"Active"~"BIBERON GIGANTE VAGINA NEGRA"~"<p>
	Biber&oacute;n peculiar con forma de vagina de color negro y pajita, con letrero &quot;Un bomb&oacute;n de chocolate para chupar&quot;.<br />
	<br />
	Capacidad para 2 litros.</p>
"~"products/BIBERON_GIGANTE_VAGINA_NEGRA.jpg"~"20.35"~42~"0.5"~~"DIVERTIDOS"~~"BIBERONES"~"FEMARVI"~"IVA (Normal)"~"EOREOR"
16182~"Active"~"BROCHE PITO CON ESPERMA Y MARABU ROJO"~"<p>
	Broche en forma de pito con un esperma dibujado en purpurina roja y en su base marab&uacute; rojo.</p>
"~"products/BROCHE_PITO_CON_ESPERMA_Y_MARABU_ROJO.jpg"~"4.75"~50~"0.5"~~"DIVERTIDOS"~~"ACCESORIOS"~"FEMARVI"~"IVA (Normal)"~"EOREOR"
16183~"Active"~"BROCHE PITO CON FLOR Y MARABU ROJO"~"<p>
	Broche en forma de pito con una flor entre sus manos y en su base marab&uacute; rojo.</p>
"~"products/BROCHE_PITO_CON_FLOR_Y_MARABU_ROJO.jpg"~"4.75"~50~"0.5"~~"DIVERTIDOS"~~"ACCESORIOS"~"FEMARVI"~"IVA (Normal)"~"EOREOR"
16184~"Active"~"PLACA DE SHERIFF CON TETAS"~"<p>
	Broche en forma de placa de sheriff con unas tetas.</p>
"~"products/PLACA_DE_SHERIFF_CON_TETAS.jpg"~"4.75"~50~"0.5"~~"DIVERTIDOS"~~"ACCESORIOS"~"FEMARVI"~"IVA (Normal)"~"EOREOR"
16185~"Active"~"PLACA DE SHERIFF CON PITO"~"<p>
	Broche en forma de placa de sheriff con un pito.</p>
"~"products/PLACA_DE_SHERIFF_CON_PITO.jpg"~"4.75"~50~"0.5"~~"DIVERTIDOS"~~"ACCESORIOS"~"FEMARVI"~"IVA (Normal)"~"EOREOR"
16186~"Active"~"CHAPA CONGUITO CON PITO Y COJONCITOS"~"<p>
	Chapa de metal con un conguito con un gran pito y huevos y texto: &quot;Me gusta chupar los cojoncitos&quot;.</p>
"~"products/CHAPA_CONGUITO_CON_PITO_Y_COJONCITOS.jpg"~"4.75"~48~"0.5"~~"DIVERTIDOS"~~"ACCESORIOS"~"FEMARVI"~"IVA (Normal)"~"EOREOR"
16187~"Active"~"FRUITY LOVE CREMA DE MASAJE VINO ESPUMOSO DE FRESA 200 ML"~"<p>
	Crema para masaje, con sabor y que te calienta.<br />
	<br />
	Apl&iacute;cala y se calienta, sopla sobre ella y se calienta a&uacute;n m&aacute;s.<br />
	<br />
	Se quita f&aacute;cilmente con agua.<br />
	<br />
	Comestible.<br />
	<br />
	Sabor a vino espumoso de fresa.<br />
	<br />
	Envase de 200 ml.</p>
"~"products/FRUITY_LOVE_CREMA_DE_MASAJE_VINO_ESPUMOSO_DE_FRESA_200_ML.jpg"~"22.05"~2~"0.5"~~"ACEITES Y LUBRICANTES"~~"CREMAS Y POLVOS"~"SWEDE"~"IVA (Normal)"~"EOREOR"
16188~"Active"~"FRUITY LOVE CREMA DE MASAJE FRAMBUESA Y POMELO 200 ML"~"<p>
	Crema para masaje, con sabor y que te calienta.<br />
	<br />
	Apl&iacute;cala y se calienta, sopla sobre ella y se calienta a&uacute;n m&aacute;s.<br />
	<br />
	Se quita f&aacute;cilmente con agua.<br />
	<br />
	Comestible.<br />
	<br />
	Sabor a frambuesa y pomelo.<br />
	<br />
	Envase de 200 ml.</p>
"~"products/FRUITY_LOVE_CREMA_DE_MASAJE_FRAMBUESA_Y_POMELO_200_ML.jpg"~"22.05"~2~"0.5"~~"ACEITES Y LUBRICANTES"~~"CREMAS Y POLVOS"~"SWEDE"~"IVA (Normal)"~"EOREOR"
16190~"Active"~"FRUITY LOVE CREMA DE MASAJE SANDIA 50 ML"~"<p>
	Crema para masaje, con sabor y que te calienta.<br />
	<br />
	Apl&iacute;cala y se calienta, sopla sobre ella y se calienta a&uacute;n m&aacute;s.<br />
	<br />
	Se quita f&aacute;cilmente con agua.<br />
	<br />
	Comestible.<br />
	<br />
	Sabor a sand&iacute;a.<br />
	<br />
	Envase de 50 ml.</p>
"~"products/FRUITY_LOVE_CREMA_DE_MASAJE_SANDIA_50_ML.jpg"~"7.95"~5~"0.5"~~"ACEITES Y LUBRICANTES"~~"CREMAS Y POLVOS"~"SWEDE"~"IVA (Normal)"~"EOREOR"
16191~"Active"~"FRUITY LOVE CREMA DE MASAJE VAINILLA Y CANELA 50 ML"~"<p>
	Crema para masaje, con sabor y que te calienta.<br />
	<br />
	Apl&iacute;cala y se calienta, sopla sobre ella y se calienta a&uacute;n m&aacute;s.<br />
	<br />
	Se quita f&aacute;cilmente con agua.<br />
	<br />
	Comestible.<br />
	<br />
	Sabor a vainilla y canela.<br />
	<br />
	Envase de 50 ml.</p>
"~"products/FRUITY_LOVE_CREMA_DE_MASAJE_VAINILLA_Y_CANELA_50_ML.jpg"~"7.95"~7~"0.5"~~"ACEITES Y LUBRICANTES"~~"CREMAS Y POLVOS"~"SWEDE"~"IVA (Normal)"~"EOREOR"
16192~"Active"~"FRUITY LOVE CREMA DE MASAJE VINO ESPUMOSO DE FRESA 100 ML"~"<p>
	Crema para masaje, con sabor y que te calienta.<br />
	<br />
	Apl&iacute;cala y se calienta, sopla sobre ella y se calienta a&uacute;n m&aacute;s.<br />
	<br />
	Se quita f&aacute;cilmente con agua.<br />
	<br />
	Comestible.<br />
	<br />
	Sabor a vino espumoso de fresa.<br />
	<br />
	Envase de 100 ml.</p>
"~"products/FRUITY_LOVE_CREMA_DE_MASAJE_VINO_ESPUMOSO_DE_FRESA_100_ML.jpg"~"15.35"~6~"0.5"~~"ACEITES Y LUBRICANTES"~~"CREMAS Y POLVOS"~"SWEDE"~"IVA (Normal)"~"EOREOR"
16193~"Active"~"TANGA COMESTIBLE MUJER DE CARAMELO"~"<p>
	Tanga femenino comestible de sabor a caramelo. Ya no hay excusa para comerse a su pareja a mordisquitos!.</p>
"~"products/TANGA_COMESTIBLE_MUJER_DE_CARAMELO.jpg"~"14.05"~39~"0.5"~~"DIVERTIDOS"~~"COMESTIBLES"~"FEMARVI"~"IVA (Reducido)"~"EOREOR"
16195~"Active"~"REE STIMU ACEITE DE MASAJE"~"<p>
	Aceite de masajes, para masajes relajantes y llenos de esencia. Es muy nutritivo y ayuda a regenerar la piel despu&eacute;s de un d&iacute;a duro, devolviendole su elasticidad. Dermatol&oacute;gicamente probado.<br />
	<br />
	El envase lleva 150 ml. Mantener fuera del alcance de los ni&ntilde;os, en lugar fresco y seco.</p>
"~"products/REE_STIMU_ACEITE_DE_MASAJE.jpg"~"18.55"~2~"0.5"~~"ACEITES Y LUBRICANTES"~~"ACEITES"~"REE"~"IVA (Normal)"~"EOREOR"
16196~"Active"~"REE STIMU LUBRICANTE FRESA"~"<p>
	Lubricante de base agua apto para estimular el acto sexual y masajes corporales con sabor a fresa. Es compatible con los preservativos de l&aacute;tex, dematol&oacute;gicamente probado. Extender la cantidad de gel deseada. Repite la aplicaci&oacute;n si es necesario.<br />
	<br />
	El envase lleva 80 ml. Mantener fuera del alcance de los ni&ntilde;os, en lugar fresco y seco.</p>
"~"products/REE_STIMU_LUBRICANTE_FRESA.jpg"~"17.95"~1~"0.5"~~"ACEITES Y LUBRICANTES"~~"LUBRICANTES"~"REE"~"IVA (Normal)"~"EOREOR"
16197~"Active"~"REE STIMU LUBRICANTE VAINILLA"~"<p>
	Lubricante de base agua apto para estimular el acto sexual y masajes corporales con sabor a vainilla. Es compatible con los preservativos de l&aacute;tex, dematol&oacute;gicamente probado. Extender la cantidad de gel deseada. Repite la aplicaci&oacute;n si es necesario.<br />
	<br />
	El envase lleva 80 ml. Mantener fuera del alcance de los ni&ntilde;os, en lugar fresco y seco.</p>
"~"products/REE_STIMU_LUBRICANTE_VAINILLA.jpg"~"17.95"~3~"0.5"~~"ACEITES Y LUBRICANTES"~~"LUBRICANTES"~"REE"~"IVA (Normal)"~"EOREOR"
16198~"Active"~"REE STIMU LUBRICANTE BASE AGUA"~"<p>
	Lubricante de base agua apto para estimular el acto sexual y masajes corporales. Es compatible con los preservativos de l&aacute;tex, dematol&oacute;gicamente probado, libre de aceites, colorantes, sabor y perfume. Extender la cantidad de gel deseada. Repite la aplicaci&oacute;n si es necesario.<br />
	<br />
	El envase lleva 80 ml. Mantener fuera del alcance de los ni&ntilde;os, en lugar fresco y seco.</p>
"~"products/REE_STIMU_LUBRICANTE_BASE_AGUA.jpg"~"12.15"~2~"0.5"~~"ACEITES Y LUBRICANTES"~~"LUBRICANTES"~"REE"~"IVA (Normal)"~"EOREOR"
16199~"Active"~"REE STIMU CREMA INTIMA FEMENINA"~"<p>
	Para al mujer moderna, segura de si misma, esta crema para la zona &iacute;ntima le procurar&aacute; un placer sensual y una sensaci&oacute;n muy er&oacute;tica. Aplica la crema sobre las zonas &iacute;ntimas y masajear.<br />
	<br />
	El envase lleva 30 ml. Mantener fuera del alcance de los ni&ntilde;os, en lugar fresco y seco.</p>
"~"products/REE_STIMU_CREMA_INTIMA_FEMENINA.jpg"~"27.15"~1~"0.5"~~"AFRODISIACOS"~~"CREMAS FEMENINAS"~"REE"~"IVA (Normal)"~"EOREOR"
16203~"Active"~"REE STIMU GEL ESTIMULANTE MASCULINO"~"<p>
	Gel masculino estimulante de la sensibilidad del pene. Utilizar antes del acto sexual. Aplicar sobre la zona que se desee sensibilizar hasta su completa absorci&oacute;n. Aplica siempre que desees. Para uso externo.<br />
	<br />
	El envase lleva 30 ml. Mantener fuera del alcance de los ni&ntilde;os, en lugar fresco y seco.</p>
"~"products/REE_STIMU_GEL_ESTIMULANTE_MASCULINO.jpg"~"25.85"~2~"0.5"~~"AFRODISIACOS"~~"CREMAS VIGORIZANTES"~"REE"~"IVA (Normal)"~"EOREOR"
16210~"Active"~"REE STYLING GRAB MASAJEADOR BLANCO"~"<p>
	Es un masajeador de forma ergon&oacute;mica convirti&eacute;ndose en una prolongaci&oacute;n de tu mano.<br />
	<br />
	Es muy sencillo de utilizar.La bola &uacute;nica es un verdadero placer y por supuesto adecuado para usar durante los juegos amorosos. Pod&eacute;is daros un masaje el uno al otro en todas las partes del cuerpo que quer&aacute;is. Es apto para la estimulaci&oacute;n del cuerpo femenino e incluso masculino. Por su dura y lisa superficie, sentir&aacute;s al m&aacute;ximo las vibraciones por todo el cuerpo. No es solo un vibrador sino tambi&eacute;n un aparato para masaje. Es recargable y es importante cargar el aparato inicialmente durante 24 horas antes de usarlo. De esta manera est&aacute; preparado para darte placer inimaginado por mucho tiempo.<br />
	<br />
	Incluye el cargador.<br />
	Medidas: 7,4 cm. X 4 cm.<br />
	<br />
	Para gente feliz y con ganas de experimentar pasi&oacute;n y erotismo, ha llegado una nueva era. De ahora en adelante tienes un nuevo compa&ntilde;ero para jugar, descubrir, sentir y disfrutar. La funcionalidad est&aacute; acertadamente contenida en un bonito dise&ntilde;o que hace que estos &ldquo;productos para el placer&rdquo; irradien naturalidad.</p>
"~"products/REE_STYLING_GRAB_MASAJEADOR_BLANCO.jpg"~"34.95"~3~"0.5"~~"JUGUETES XXX"~~"ESTIMULADORES"~"REE"~"IVA (Normal)"~"EOREOR"
16211~"Active"~"REE STYLING TOUCH MASAJEADOR RECARGABLE NEGRO"~"<p>
	Es un masajeador de forma ergon&oacute;mica convirti&eacute;ndose en una prolongaci&oacute;n de tu mano.<br />
	<br />
	Es muy sencillo de utilizar. El extremo puntiagudo no es solamente perfecto para la estimulaci&oacute;n del cl&iacute;toris, sino tambi&eacute;n para todas las zonas er&oacute;genas del cuerpo femenino y masculino. Por su dura y lisa superficie, sentir&aacute;s al m&aacute;ximo las vibraciones por todo el cuerpo. No es solo un vibrador sino tambi&eacute;n un aparato para masaje. Es recargable y es importante cargar el aparato inicialmente durante 24 horas antes de usarlo. De esta manera est&aacute; preparado para darte placer inimaginado por mucho tiempo. Incluye el cargador.<br />
	<br />
	Medidas: 9 cm. X 4,5 cm. Punta de 1,5 cm.<br />
	<br />
	Para gente feliz y con ganas de experimentar pasi&oacute;n y erotismo, ha llegado una<br />
	nueva era. De ahora en adelante tienes un nuevo compa&ntilde;ero para jugar,<br />
